00 Die
01 Revive
02 ...
03 ...
04 ...
05 SpawnItem
06 SellList
07 BuyList
08 DeleteObject
09 CharSelectionInfo
0A LoginFail
0B CharSelected
0C CharInfo
0D NewCharacterSuccess
0E ObservationReturn
0F CharCreateOk
10 CharCreateFail
11 ItemList
12 SunRise
13 SunSet
14 TradeStart
15 ...
16 DropItem
17 GetItem
18 StatusUpdate
19 NpcHtmlMessage
1A TradeOwnAdd
1B TradeOtherAdd
1C TradeDone
1D CharDeleteSuccess
1E CharDeleteFail
1F ActionFailed
20 ServerClose
21 InventoryUpdate
22 TeleportToLocation
23 TargetSelected
24 TargetUnselected
25 AutoAttackStart
26 AutoAttackStop
27 SocialAction
28 ChangeMoveType
29 ChangeWaitType
2A ManagePledgePower
2B ...
2C AskJoinPledge
2D JoinPledge
2E KeyPacket
2F MoveToLocation
30 NpcSay
31 NpcInfo
32 UserInfo
33 Attack
34 ...
35 ...
36 ...
37 ...
38 ...
39 AskJoinParty
3A JoinParty
3B ...
3C ...
3D ...
3E ...
3F ...
40 ...
41 WareHouseDepositList
42 WareHouseWithdrawalList
43 ...
44 ShortCutRegister
45 ShortCutInit
46 ...
47 StopMove
48 MagicSkillUse
49 MagicSkillCanceld
4A CreatureSay
4B EquipUpdate
4C DoorInfo
4D DoorStatusUpdate
4E PartySmallWindowAll
4F PartySmallWindowAdd
50 PartySmallWindowDeleteAll
51 PartySmallWindowDelete
52 PartySmallWindowUpdate
53 ...
54 MagicSkillLaunched
55 ...
56 ...
57 ...
58 ...
59 ...
5A PledgeShowMemberListAll
5B PledgeShowMemberListUpdate
5C PledgeShowMemberListAdd
5D PledgeShowMemberListDelete
5E ...
5F SkillList
60 VehicleInfo
61 StopRotation
62 SystemMessage
63 StartPledgeWar
64 ...
65 StopPledgeWar
66 ...
67 SurrenderPledgeWar
68 ...
69 ...
6A PledgeCrest
6B SetupGauge
6C VehicleDeparture
6D VehicleCheckLocation
6E GetOnVehicle
6F GetOffVehicle
70 SendTradeRequest
71 RestartResponse
72 MoveToPawn
73 SSQInfo
74 GameGuardQuery
75 FriendList
76 ...
77 ...
78 L2FriendSay
79 ValidateLocation
7A StartRotation
7B ShowBoard
7C ChooseInventoryItem
7D ...
7E MoveToLocationInVehicle
7F StopMoveInVehicle
80 ValidateLocationInVehicle
81 ...
82 ...
83 FriendAddRequest
84 LeaveWorld
85 AbnormalStatusUpdate
86 QuestList
87 EnchantResult
88 PledgeShowMemberListDeleteAll
89 PledgeInfo
8A ...
8B ...
8C Ride
8D ...
8E PledgeShowInfoUpdate
8F ...
90 AcquireSkillList
91 AcquireSkillInfo
92 ...
93 GMHide
94 AcquireSkillDone
95 GMViewCharacterInfo
96 GMViewPledgeInfo
97 GMViewSkillInfo
98 ...
99 GmViewQuestInfo
9A GMViewItemList
9B GMViewWarehouseWithdrawList
9C ListPartyWating
9D PartyMatchDetail
9E PlaySound
9F StaticObject
A0 PrivateStoreManageListSell
A1 PrivateStoreListSell
A2 PrivateStoreMsgSell
A3 ShowMiniMap
A4 ...
A5 ...
A6 TutorialShowHtml
A7 TutorialShowQuestionMark
A8 TutorialEnableClientEvent
A9 TutorialCloseHtml
AA ...
AB ...
AC ...
AD ...
AE ...
AF AllyCrest
B0 ...
B1 PetStatusShow
B2 PetInfo
B3 PetItemList
B4 PetInventoryUpdate
B5 ...
B6 PetStatusUpdate
B7 PetDelete
B8 ...
B9 MyTargetSelected
BA PartyMemberPosition
BB AskJoinAlly
BC ...
BD PrivateStoreManageListBuy
BE PrivateStoreListBuy
BF PrivateStoreMsgBuy
C0 VehicleStarted
C1 ...
C2 ...
C3 ...
C4 ...
C5 ...
C6 ...
C7 SkillCoolTime
C8 PackageToList
C9 FortressSiegeInfo
CA SiegeAttackerList
CB SiegeDefenderList
CC NicknameChanged
CD PledgeStatusChanged
CE RelationChanged
CF ...
D0 MultiSellList
D1 SetSummonRemainTime
D2 PackageSendableList
D3 Earthquake
D4 FlyToLocation
D5 ...
D6 SpecialCamera
D7 NormalCamera
D8 ...
D9 ...
DA Dice
DB Snoop
DC RecipeBookItemList
DD RecipeItemMakeInfo
DE RecipeShopManageList
DF RecipeShopSellList
E0 RecipeShopItemInfo
E1 RecipeShopMsg
E2 ShowCalculator
E3 MonRaceInfo
E4 HennaItemInfo
E5 HennaInfo
E6 ...
E7 ...
E8 SendMacroList
E9 BuyListSeed
EA ShowTownMap
EB ObservationMode
EC ...
ED ChairSit
EE HennaEquipList
EF SellListProcure
F0 GMHennaInfo
F1 RadarControl
F2 ClientSetTime
F3 ConfirmDlg
F4 PartySpelled
F5 ShopPreviewList
F6 ...
F7 CameraMode
F8 ShowXMasSeal
F9 EtcStatusUpdate
FA ShortBuffStatusUpdate
FB SSQStatus
FC ...
FD AgitDecoInfo
FE ...
FF ...

2-byte packets:
FE:01 ExRegMax
FE:0C ExAutoSoulShot
FE:12 ExOpenMPCC
FE:13 ExCloseMPCC
FE:14 ExShowCastleInfo
FE:15 ExShowFortressInfo
FE:16 ExShowAgitInfo
FE:17 ExShowFortressSiegeInfo
FE:18 ExPartyPetWindowAdd
FE:19 ExPartyPetWindowUpdate
FE:1A ExAskJoinMPCC
FE:1B ExPledgeCrestLarge
FE:1E ExFishingStart
FE:1F ExFishingEnd
FE:20 ExShowQuestInfo
FE:21 ExShowQuestMark
FE:22 ExSendManorList
FE:23 ExShowSeedInfo
FE:24 ExShowCropInfo
FE:25 ExShowManorDefaultInfo
FE:26 ExShowSeedSetting
FE:27 ExFishingStartCombat
FE:28 ExFishingHpRegen
FE:29 ExEnchantSkillList
FE:2A ExEnchantSkillInfo
FE:2B ExShowCropSetting
FE:2C ExShowSellCropList
FE:2E ExMailArrived
FE:2F ExStorageMaxCount
FE:31 ExMultiPartyCommandChannelInfo
FE:32 ExPCCafePointInfo
FE:33 ExSetCompassZoneCode
FE:34 ExGetBossRecord
FE:35 ExAskJoinPartyRoom
FE:38 ExShowAdventurerGuideBook
FE:39 ExShowScreenMessage
FE:3A PledgeSkillList
FE:3B PledgeSkillListAdd
FE:3C PledgePowerGradeList
FE:3D PledgeReceivePowerInfo
FE:3E PledgeReceiveMemberInfo
FE:3F PledgeReceiveWarList
FE:40 PledgeReceiveSubPledgeCreated
FE:41 ExRedSky
FE:44 ShowPCCafeCouponShowUI
FE:45 ExSearchOrc
FE:46 ExCursedWeaponList
FE:47 ExCursedWeaponLocation
FE:48 ExRestartClient
FE:49 ExRequestHackShield
FE:4A ExUseSharedGroupItem
FE:4B ExMPCCShowPartyMemberInfo
FE:4C ExDuelAskStart
FE:4D ExDuelReady
FE:4E ExDuelStart
FE:4F ExDuelEnd
FE:50 ExDuelUpdateUserInfo
FE:51 ExShowVariationMakeWindow
FE:52 ExShowVariationCancelWindow
FE:53 ExPutItemResultForVariationMake
FE:54 ExPutIntensiveResultForVariationMake
FE:55 ExPutCommissionResultForVariationMake
FE:56 ExVariationResult
FE:57 ExPutItemResultForVariationCancel
FE:58 ExVariationCancelResult
