0	DiePacket
1	RevivePacket
2	AttackOutofRangePacket
3	AttackinCoolTimePacket
4	AttackDeadTargetPacket
5	SpawnItemPacket
6	SellListPacket
7	BuyListPacket
8	DeleteObjectPacket
9	CharacterSelectionInfoPacket
a	LoginFailPacket
b	CharacterSelectedPacket
c	NpcInfoPacket
d	NewCharacterSuccessPacket
e	NewCharacterFailPacket
f	CharacterCreateSuccessPacket
10	CharacterCreateFailPacket
11	ItemListPacket
12	SunRisePacket
13	SunSetPacket
14	TradeStartPacket
15	TradeStartOkPacket
16	DropItemPacket
17	GetItemPacket
18	StatusUpdatePacket
19	NpcHtmlMessagePacket
1a	TradeOwnAddPacket
1b	TradeOtherAddPacket
1c	TradeDonePacket
1d	CharacterDeleteSuccessPacket
1e	CharacterDeleteFailPacket
1f	ActionFailPacket
20	SeverClosePacket
21	InventoryUpdatePacket
22	TeleportToLocationPacket
23	TargetSelectedPacket
24	TargetUnselectedPacket
25	AutoAttackStartPacket
26	AutoAttackStopPacket
27	SocialActionPacket
28	ChangeMoveTypePacket
29	ChangeWaitTypePacket
2a	ManagePledgePowerPacket
2b	CreatePledgePacket
2c	AskJoinPledgePacket
2d	JoinPledgePacket
2e	VersionCheckPacket
2f	MTLPacket
30	NSPacket
31	CIPacket
32	UIPacket
33	AttackPacket
34	WithdrawalPledgePacket
35	OustPledgeMemberPacket
36	SetOustPledgeMemberPacket
37	DismissPledgePacket
38	SetDismissPledgePacket
39	AskJoinPartyPacket
3a	JoinPartyPacket
3b	WithdrawalPartyPacket
3c	OustPartyMemberPacket
3d	SetOustPartyMemberPacket
3e	DismissPartyPacket
3f	SetDismissPartyPacket
40	MagicAndSkillList
41	WareHouseDepositListPacket
42	WareHouseWithdrawListPacket
43	WareHouseDonePacket
44	ShortCutRegisterPacket
45	ShortCutInitPacket
46	ShortCutDeletePacket
47	StopMovePacket
48	MagicSkillUse
49	MagicSkillCanceled
4a	SayPacket2
4b	EquipUpdatePacket
4c	DoorInfoPacket
4d	DoorStatusUpdatePacket
4e	PartySmallWindowAllPacket
4f	PartySmallWindowAddPacket
50	PartySmallWindowDeleteAllPacket
51	PartySmallWindowDeletePacket
52	PartySmallWindowUpdatePacket
53	TradePressOwnOkPacket
54	MagicSkillLaunchedPacket
55	FriendAddRequestResult
56	FriendAdd
57	FriendRemove
58	FriendList
59	FriendStatus
5a	PledgeShowMemberListAllPacket
5b	PledgeShowMemberListUpdatePacket
5c	PledgeShowMemberListAddPacket
5d	PledgeShowMemberListDeletePacket
5e	MagicListPacket
5f	SkillListPacket
60	VehicleInfoPacket
61	FinishRotatingPacket
62	SystemMessagePacket
63	StartPledgeWarPacket
64	ReplyStartPledgeWarPacket
65	StopPledgeWarPacket
66	ReplyStopPledgeWarPacket
67	SurrenderPledgeWarPacket
68	ReplySurrenderPledgeWarPacket
69	SetPledgeCrestPacket
6a	PledgeCrestPacket
6b	SetupGaugePacket
6c	VehicleDeparturePacket
6d	VehicleCheckLocationPacket
6e	GetOnVehiclePacket
6f	GetOffVehiclePacket
70	TradeRequestPacket
71	RestartResponsePacket
72	MoveToPawnPacket
73	SSQInfoPacket
74	GameGuardQueryPacket
75	L2FriendListPacket
76	L2FriendPacket
77	L2FriendStatusPacket
78	L2FriendSayPacket
79	ValidateLocationPacket
7a	StartRotatingPacket
7b	ShowBoardPacket
7c	ChooseInventoryItemPacket
7d	DummyPacket
7e	MoveToLocationInVehiclePacket
7f	StopMoveInVehiclePacket
80	ValidateLocationInVehiclePacket
81	TradeUpdatePacket
82	TradePressOtherOkPacket
83	FriendAddRequest
84	LogOutOkPacket
85	AbnormalStatusUpdatePacket
86	QuestListPacket
87	EnchantResultPacket
88	PledgeShowMemberListDeleteAllPacket
89	PledgeInfoPacket
8a	PledgeExtendedInfoPacket
8b	SurrenderPersonallyPacket
8c	RidePacket
8d	DummyPacket
8e	PledgeShowInfoUpdatePacket
8f	ClientActionPacket
90	AcquireSkillListPacket
91	AcquireSkillInfoPacket
92	ServerObjectInfoPacket
93	GMHidePacket
94	AcquireSkillDonePacket
95	GMViewCharacterInfoPacket
96	GMViewPledgeInfoPacket
97	GMViewSkillInfoPacket
98	GMViewMagicInfoPacket
99	GMViewQuestInfoPacket
9a	GMViewItemListPacket
9b	GMViewWarehouseWithdrawListPacket
9c	ListPartyWatingPacket
9d	PartyRoomInfoPacket
9e	PlaySoundPacket
9f	StaticObjectPacket
a0	PrivateStoreManageList
a1	PrivateStoreList
a2	PrivateStoreMsg
a3	ShowMinimapPacket
a4	ReviveRequestPacket
a5	AbnormalVisualEffectPacket
a6	TutorialShowHtmlPacket
a7	TutorialShowQuestionMarkPacket
a8	TutorialEnableClientEventPacket
a9	TutorialCloseHtmlPacket
aa	ShowRadarPacket
ab	WithdrawAlliancePacket
ac	OustAllianceMemberPledgePacket
ad	DismissAlliancePacket
ae	SetAllianceCrestPacket
af	AllianceCrestPacket
b0	ServerCloseSocketPacket
b1	PetStatusShowPacket
b2	PetInfoPacket
b3	PetItemListPacket
b4	PetInventoryUpdatePacket
b5	AllianceInfoPacket
b6	PetStatusUpdatePacket
b7	PetDeletePacket
b8	DeleteRadarPacket
b9	MyTargetSelectedPacket
ba	PartyMemberPositionPacket
bb	AskJoinAlliancePacket
bc	JoinAlliancePacket
bd	PrivateStoreBuyManageList
be	PrivateStoreBuyList
bf	PrivateStoreBuyMsg
c0	VehicleStartPacket
c1	RequestTimeCheckPacket
c2	StartAllianceWarPacket
c3	ReplyStartAllianceWarPacket
c4	StopAllianceWarPacket
c5	ReplyStopAllianceWarPacket
c6	SurrenderAllianceWarPacket
c7	SkillCoolTimePacket
c8	PackageToListPacket
c9	CastleSiegeInfoPacket
ca	CastleSiegeAttackerListPacket
cb	CastleSiegeDefenderListPacket
cc	NickNameChangedPacket
cd	PledgeStatusChangedPacket
ce	RelationChangedPacket
cf	EventTriggerPacket
d0	MultiSellListPacket
d1	SetSummonRemainTimePacket
d2	PackageSendableListPacket
d3	EarthQuakePacket
d4	FlyToLoactionPacket
d5	BlockListPacket
d6	SpecialCameraPacket
d7	NormalCameraPacket
d8	SkillRemainSecPacket
d9	NetPingPacket
da	DicePacket
db	SnoopPacket
dc	RecipeBookItemListPacket
dd	RecipeItemMakeInfoPacket
de	RecipeShopManageListPacket
df	RecipeShopSellListPacket
e0	RecipeShopItemInfoPacket
e1	RecipeShopMsgPacket
e2	ShowCalcPacket
e3	MonRaceInfoPacket
e4	HennaItemInfoPacket
e5	HennaInfoPacket
e6	HennaUnequipListPacket
e7	HennaUnequipInfoPacket
e8	MacroListPacket
e9	BuyListSeedPacket
ea	ShowTownMapPacket
eb	ObserverStartPacket
ec	ObserverEndPacket
ed	ChairSitPacket
ee	HennaEquipListPacket
ef	SellListProcurePacket
f0	GMHennaInfoPacket
f1	RadarControlPacket
f2	ClientSetTimePacket
f3	ConfirmDlgPacket
f4	PartySpelledPacket
f5	ShopPreviewListPacket
f6	ShopPreviewInfoPacket
f7	CameraModePacket
f8	ShowXMasSealPacket
f9	EtcStatusUpdatePacket
fa	ShortBuffStatusUpdatePacket
fb	SSQStatusPacket
fc	PetitionVotePacket
fd	AgitDecoInfoPacket
fe	DummyPacket

fe00	ExDummyPacket
fe01	ExRegenMaxPacket
fe02	ExEventMatchUserInfoPacket
fe03	ExColosseumFenceInfoPacket
fe04	ExEventMatchSpelledInfoPacket
fe05	ExEventMatchFirecrackerPacket
fe06	ExEventMatchTeamUnlockedPacket
fe07	ExEventMatchGMTestPacket
fe08	ExPartyRoomMemberPacket
fe09	ExClosePartyRoomPacket
fe0a	ExManagePartyRoomMemberPacket
fe0b	ExEventMatchLockResult
fe0c	ExAutoSoulShot
fe0d	ExEventMatchListPacket
fe0e	ExEventMatchObserverPacket
fe0f	ExEventMatchMessagePacket
fe10	ExEventMatchScorePacket
fe11	ExServerPrimitivePacket
fe12	ExOpenMPCCPacket
fe13	ExCloseMPCCPacket
fe14	ExShowCastleInfo
fe15	ExShowFortressInfo
fe16	ExShowAgitInfo
fe17	ExShowFortressSiegeInfo
fe18	ExPartyPetWindowAdd
fe19	ExPartyPetWindowUpdate
fe1a	ExAskJoinMPCCPacket
fe1b	ExPledgeCrestLargePacket
fe1c	ExEventMatchTeamInfoPacket
fe1d	ExEventMatchCreatePacket
fe1e	ExFishingStartPacket
fe1f	ExFishingEndPacket
fe20	ExShowQuestInfoPacket
fe21	ExShowQuestMarkPacket
fe22	ExSendManorListPacket
fe23	ExShowSeedInfoPacket
fe24	ExShowCropInfoPacket
fe25	ExShowManorDefaultInfoPacket
fe26	ExShowSeedSettingPacket
fe27	ExFishingStartCombatPacket
fe28	ExFishingHpRegenPacket
fe29	ExEnchantSkillListPacket
fe2a	ExEnchantSkillInfoPacket
fe2b	ExShowCropSettingPacket
fe2c	ExShowSellCropListPacket
fe2d	ExOlympiadMatchEndPacket
fe2e	ExMailArrivedPacket
fe2f	ExStorageMaxCountPacket
fe30	ExEventMatchManagePacket
fe31	ExMultiPartyCommandChannelInfoPacket
fe32	ExPCCafePointInfoPacket
fe33	ExSetCompassZoneCode
fe34	ExGetBossRecord
fe35	ExAskJoinPartyRoom
fe36	ExListPartyMatchingWaitingRoom
fe37	ExSetMpccRouting
fe38	ExShowAdventurerGuideBook
fe39	ExShowScreenMessage
fe3a	PledgeSkillListPacket
fe3b	PledgeSkillListAddPacket
fe3c	PledgePowerGradeList
fe3d	PledgeReceivePowerInfo
fe3e	PledgeReceiveMemberInfo
fe3f	PledgeReceiveWarList
fe40	PledgeReceiveSubPledgeCreated
fe41	ExRedSkyPacket
fe42	PledgeReceiveUpdatePower
fe43	FlySelfDestinationPacket
fe44	ShowPCCafeCouponShowUI
fe45	ExSearchOrc
fe46	ExCursedWeaponList
fe47	ExCursedWeaponLocation
fe48	ExRestartClient
fe49	ExRequestHackShield
fe4a	ExUseSharedGroupItem
fe4b	ExMPCCShowPartyMemberInfo
fe4c	ExDuelAskStart
fe4d	ExDuelReady
fe4e	ExDuelStart
fe4f	ExDuelEnd
fe50	ExDuelUpdateUserInfo
fe51	ExShowVariationMakeWindow
fe52	ExShowVariationCancelWindow
fe53	ExPutItemResultForVariationMake
fe54	ExPutIntensiveResultForVariationMake
fe55	ExPutCommissionResultForVariationMake
fe56	ExVariationResult
fe57	ExPutItemResultForVariationCancel
fe58	ExVariationCancelResult
fe59	ExDuelEnemyRelation
fe5a	ExPlayAnimation
fe5b	ExMPCCPartyInfoUpdate
fe5c	ExPlayScene
fe5d	ExSpawnEmitterPacket
fe5e	ExEnchantSkillInfoDetailPacket
fe5f	ExBasicActionList
fe60	ExAirShipInfo
fe61	ExAttributeEnchantResultPacket
fe62	ExChooseInventoryAttributeItemPacket
fe63	ExGetOnAirShipPacket
fe64	ExGetOffAirShipPacket
fe65	ExMoveToLocationAirShipPacket
fe66	ExStopMoveAirShipPacket
fe67	ExShowTracePacket
fe68	ExItemAuctionInfoPacket
fe69	ExNeedToChangeName
fe6a	ExPartyPetWindowDelete
fe6b	ExTutorialList
fe6c	ExRpItemLink
fe6d	ExMoveToLocationInAirShipPacket
fe6e	ExStopMoveInAirShipPacket
fe6f	ExValidateLocationInAirShipPacket
fe70	ExUISettingPacket
fe71	ExMoveToTargetInAirShipPacket
fe72	ExAttackInAirShipPacket
fe73	ExMagicSkillUseInAirShipPacket
fe74	ExShowBaseAttributeCancelWindow
fe75	ExBaseAttributeCancelResult
fe76	ExSubPledgetSkillAdd
fe77	ExResponseFreeServer
fe78	ExShowProcureCropDetailPacket
fe79	ExHeroListPacket
fe7a	ExOlympiadUserInfoPacket
fe7b	ExOlympiadSpelledInfoPacket
fe7c	ExOlympiadModePacket
fe7d	ExShowFortressMapInfo
fe7e	ExPVPMatchRecord
fe7f	ExPVPMatchUserDie
fe80	ExPrivateStoreWholeMsg

fe81	ExPutEnchantTargetItemResult
fe82	ExPutEnchantSupportItemResult
fe83	ExChangeNicknameNColor
fe84	ExGetBookMarkInfoPacket
fe85	ExNotifyPremiumItem
fe86	ExGetPremiumItemListPacket
fe87	ExPeriodicItemList
fe88	ExJumpToLocation
fe89	ExPVPMatchCCRecord
fe8a	ExPVPMatchCCMyRecord
fe8b	ExPVPMatchCCRetire
fe8c	ExShowTerritory
fe8d	ExNpcQuestHtmlMessage
fe8e	ExSendUIEventPacket
fe8f	ExNotifyBirthDay
fe90	ExShowDominionRegistry
fe91	ExReplyRegisterDominion
fe92	ExReplyDominionInfo
fe93	ExShowOwnthingPos
fe94	ExCleftList
fe95	ExCleftState
fe96	ExDominionChannelSet
fe97	ExBlockUpSetList
fe98	ExBlockUpSetState
fe99	ExStartScenePlayer
fe9a	ExAirShipTeleportList
fe9b	ExMpccRoomInfo
fe9c	ExListMpccWaiting
fe9d	ExDissmissMpccRoom
fe9e	ExManageMpccRoomMember
fe9f	ExMpccRoomMember
fea0	ExVitalityPointInfo
fea1	ExShowSeedMapInfo
fea2	ExMpccPartymasterList
fea3	ExDominionWarStart
fea4	ExDominionWarEnd
fea5	ExDummyPacket
fea6	ExBR_GamePointPacket
fea7	ExBR_ProductListPacket
fea8	ExBR_ProductInfoPacket
fea9	ExBR_BuyProductPacket
feaa	ExBR_PremiumStatePacket
feab	ExBrBroadcastEventState
feac	ExBrExtraUserInfo
