00 Logout
01 AttackRequest
03 RequestStartPledgeWar
04 RequestReplyStartPledgeWar
05 RequestStopPledgeWar
06 RequestReplyStopPledgeWar
07 RequestSurrenderPledgeWar
08 RequestReplySurrenderPledgeWar
09 RequestSetPledgeCrest
0b RequestGiveNickName
0f MoveBackwardToLocation
11 EnterWorld
12 RequestItemList
16 RequestUnEquipItem
17 RequestDropItem
19 UseItem
1a TradeRequest
1b AddTradeItem
1c TradeDone
1f Action
22 RequestLinkHtml
23 RequestBypassToServer
24 RequestBBSwrite
26 RequestJoinPledge
27 RequestAnswerJoinPledge
28 RequestWithdrawalPledge
29 RequestOustPledgeMember
2c RequestGetItemFromPet
2e RequestAllyInfo
2f RequestCrystallizeItem
30 RequestPrivateStoreManageSell
31 SetPrivateStoreListSell
34 RequestSocialAction
35 ChangeMoveType2
36 ChangeWaitType2
37 RequestSellItem
39 RequestMagicSkillUse
3a Appearing
3b SendWareHouseDepositList
3c SendWareHouseWithDrawList
3d RequestShortCutReg
3f RequestShortCutDel
40 RequestBuyItem
42 RequestJoinParty
43 RequestAnswerJoinParty
44 RequestWithDrawalParty
45 RequestOustPartyMember
46 RequestDismissParty
47 CannotMoveAnymore
48 RequestTargetCanceld
49 Say2
4d RequestPledgeMemberList
4f DummyPacket
50 RequestSkillList
52 MoveWithDelta
53 RequestGetOnVehicle
54 RequestGetOffVehicle
55 AnswerTradeRequest
56 RequestActionUse
57 RequestRestart
58 RequestSiegeInfo
59 ValidatePosition
5b StartRotating
5c FinishRotating
5e RequestShowBoard
5f RequestEnchantItem
60 RequestDestroyItem
62 RequestQuestList
63 RequestQuestAbort
65 RequestPledgeInfo
66 RequestPledgeExtendedInfo
67 RequestPledgeCrest
6f RequestHennaEquip
73 RequestAquireSkillInfo
74 SendBypassBuildCmd
75 RequestMoveToLocationInVehicle
76 CannotMoveAnymoreInVehicle
77 RequestFriendInvite
78 RequestAnswerFriendInvite
79 RequestFriendList
7a RequestFriendDel
7c RequestAquireSkill
7d RequestRestartPoint
7e RequestGMCommand
7f RequestPartyMatchConfig
80 RequestPartyMatchList
81 RequestPartyMatchDetail
83 RequestPrivateStoreBuy
85 RequestTutorialLinkHtml
86 RequestTutorialPassCmdToServer
87 RequestTutorialQuestionMark
88 RequestTutorialClientEvent
89 RequestPetition
8a RequestPetitionCancel
8b RequestGmList
8c RequestJoinAlly
8d RequestAnswerJoinAlly
8e AllyLeave
8f AllyDismiss
90 RequestDismissAlly
91 RequestSetAllyCrest
92 RequestAllyCrest
93 RequestChangePetName
94 RequestPetUseItem
95 RequestGiveItemToPet
96 RequestPrivateStoreQuitSell
97 SetPrivateStoreMsgSell
98 RequestPetGetItem
99 RequestPrivateStoreManageBuy
9a SetPrivateStoreListBuy 
9c RequestPrivateStoreQuitBuy
9d SetPrivateStoreMsgBuy
9f RequestPrivateStoreSell
a6 RequestSkillCoolTime
a7 RequestPackageSendableItemList
a8 RequestPackageSend
a9 RequestBlock
aa RequestCastleSiegeInfo
ab RequestSiegeAttackerList
ac RequestSiegeDefenderList
ad RequestJoinSiege
ae RequestConfirmSiegeWaitingList
b0 MultiSellChoose
b1 NetPing
b3 RequestUserCommand
b4 SnoopQuit
b5 RequestRecipeBookOpen
b6 RequestRecipeBookDestroy
b7 RequestRecipeItemMakeInfo
b8 RequestRecipeItemMakeSelf
ba RequestRecipeShopMessageSet
bb RequestRecipeShopListSet
bc RequestRecipeShopManageQuit
be RequestRecipeShopMakeInfo
bf RequestRecipeShopMakeItem
c0 RequestRecipeShopManagePrev
c1 ObserverReturn
c2 RequestEvaluate
c3 RequestHennaList
c4 RequestHennaItemInfo
cc RequestPledgePower
cd RequestMakeMacro
ce RequestDeleteMacro
cf RequestBuyProcure
c5 RequestBuySeed
c6 DlgAnswer
c7 RequestWearItem
c8 RequestSSQStatus
cb GameGuardReply
6b RequestSendFriendMsg
6c RequestShowMiniMap
6e RequestRecordInfo

D0:01 RequestManorList
D0:02 RequestProcureCropList
D0:03 RequestSetSeed
D0:04 RequestSetCrop
D0:05 RequestWriteHeroWords
D0:06 RequestExAskJoinMPCC
